Name,Terminal Name,ID,Latitude,Longitude
"Farm Street, Mayfair",002678,382,51.50935171,-0.14744969
"Frith Street, Soho",002660,383,51.51310333,-0.13121385
"Marloes Road, Kensington",003505,384,51.496481,-0.192404
"Moor Street, Soho",003504,386,51.51352755,-0.130110822
"Fire Brigade Pier, Vauxhall",002703,387,51.49369988,-0.121394101
"Southampton Street, Strand",001228,388,51.51070161,-0.121723604
"Upper Grosvenor Street, Mayfair",010621,389,51.51013066,-0.155757901
"Buxton Street 1, Shoreditch",001223,390,51.521776,-0.068856
"Clifford Street, Mayfair",002688,391,51.51066202,-0.142345694
"Imperial College, Knightsbridge",001220,392,51.49942855,-0.179702476
"Snow Hill, Farringdon",002699,393,51.51733427,-0.103604248
"Aberdeen Place, St. John's Wood",002698,394,51.524826,-0.176268
"Cadogan Gardens, Chelsea",002695,395,51.492462,-0.159919
"Shouldham Street, Marylebone",002693,396,51.51809,-0.163609
"Devonshire Terrace, Bayswater",001227,397,51.51348,-0.17977
"Holland Park, Kensington",010631,398,51.502319,-0.200742
"Brick Lane Market, Shoreditch",002687,399,51.52261762,-0.071653961
"George Street, Marylebone",001225,400,51.517703,-0.154106
"Columbia Road, Shoreditch",002701,401,51.528187,-0.075375
"Penfold Street, Marylebone",010625,402,51.52289229,-0.171681991
"George Place Mews, Marylebone",010630,403,51.51689296,-0.158249929
"Palace Gate, Kensington Gardens",001110,404,51.50204238,-0.184400221
"Gloucester Road Station, South Kensington",001107,405,51.49418566,-0.18267094
"Sun Street, Liverpool Street",001129,408,51.520009,-0.083935724
"Strata, Elephant & Castle",010624,409,51.493146,-0.099828
"Edgware Road Station, Marylebone",001058,410,51.519968,-0.169774
"Rotherhithe Roundabout, Rotherhithe",010629,411,51.499169,-0.055846029
"Cleaver Street, Kennington",010628,412,51.488105,-0.110121
"Chelsea Bridge, Pimlico",022160,419,51.485821,-0.149004
"Southwark Station 2, Southwark",022163,421,51.504044,-0.104778
"Eaton Square (South), Belgravia",022164,423,51.49456127,-0.15393398
"Ebury Bridge, Pimlico",022159,424,51.490491,-0.149186
"Vincent Street, Pimlico",022161,426,51.493072,-0.129925
"Cheapside, Bank",022180,427,51.51397065,-0.09294031
"Exhibition Road, Knightsbridge",022179,428,51.499917,-0.174554
"South Parade, Chelsea",022182,430,51.48902,-0.17524
"Crinan Street, King's Cross",022183,431,51.534474,-0.122203
"Exhibition Road Museums 1, South Kensington",022158,432,51.496468,-0.17379696
"Wren Street, Holborn",022169,433,51.524564,-0.116279
"Kennington Station, Kennington",022170,435,51.488852,-0.105593
"Red Lion Street, Holborn",022171,436,51.51824,-0.11655
"Vauxhall Walk, Vauxhall",200056,437,51.488124,-0.120903
"Killick Street, King's Cross",200053,439,51.5338,-0.118677
"Kennington Oval, Oval",200032,440,51.483145,-0.113134
"Sail Street, Vauxhall",200039,441,51.495656,-0.114605
"Walmer Road, Avondale",200035,442,51.510101,-0.211358
"Philpot Street, Whitechapel",200033,443,51.515256,-0.058641
"Bethnal Green Garden, Bethnal Green",200047,444,51.52568,-0.055312
"Cheshire Street, Bethnal Green",200003,445,51.52388,-0.065076
"York Hall, Bethnal Green",200042,446,51.528936,-0.055894
"Jubilee Crescent, Cubitt Town",200054,447,51.493381,-0.007542
"Fisherman's Walk West, Canary Wharf",022165,448,51.50623,-0.02296
"Shadwell Station, Shadwell",200020,449,51.511088,-0.057159
"Jubilee Street, Stepney",200002,450,51.515975,-0.053177
"Hermitage Court, Wapping",200021,451,51.504719,-0.063531
"St. Katharine's Way, Tower",200049,452,51.505697,-0.070542
