Terminal Name,ID,Number of Docks,Name
200238,510,41,"Westferry DLR, Limehouse"
200256,511,33,"Sutton Street, Shadwell"
200083,512,30,"Pritchard's Road, Bethnal Green"
200008,514,17,"Portman Square, Marylebone"
200080,515,24,"Russell Gardens, Olympia"
200089,516,18,"Chrisp Street Market, Poplar"
200027,517,18,"Ford Road, Old Ford"
200041,518,30,"Antill Road, Mile End"
200254,519,33,"Teviot Street, Poplar"
200234,520,21,"Bancroft Road, Bethnal Green"
200030,521,19,"Driffield Road, Old Ford"
200161,522,36,"Clinton Road, Mile End"
200160,523,24,"Langdon Park, Poplar"
200017,524,38,"Lancaster Gate , Bayswater"
200153,525,24,"Blythe Road, Olympia"
200143,526,27,"Lancaster Drive, Blackwall"
200154,527,20,"Hansard Mews, Holland Park"
200088,528,16,"Clarges Street, Mayfair"
200010,529,18,"Manresa Road, Chelsea"
200146,530,18,"Newby Place, Poplar"
200167,531,21,"Twig Folly Bridge, Mile End"
200163,532,63,"Jubilee Plaza, Canary Wharf"
200165,533,33,"Wellington Row, Bethnal Green"
200159,534,27,"Goldsmith's Row, Haggerston"
200145,535,24,"Gloucester Avenue, Camden Town"
200024,536,35,"Queensbridge Road, Haggerston"
200239,537,18,"Old Montague Street, Whitechapel"
200050,538,21,"Naval Row, Blackwall"
200151,539,22,"Hoxton Station, Hoxton"
200134,540,27,"Albany Street, The Regent's Park"
200096,541,28,"Green Park Station, Mayfair"
200147,542,33,"Salmon Lane, Limehouse"
200065,543,21,"Lansdowne Walk, Ladbroke Grove"
200051,544,22,"Percival Street, Finsbury"
200070,545,24,"Arlington Road, Camden Town"
200044,546,21,"New Fetter Lane, Holborn"
200127,547,51,"East India DLR, Blackwall"
200076,548,26,"Westminster Bridge Road, Elephant & Castle"
200132,549,45,"Gaywood  Street, Elephant & Castle"
200102,550,23,"Harford Street, Mile End"
200066,551,39,"Import Dock, Canary Wharf"
200149,552,27,"Watney Street, Shadwell"
200064,553,24,"Regent's Row , Haggerston"
200078,554,16,"Aberfeldy Street, Poplar"
200138,556,27,"Heron Quays DLR, Canary Wharf"
200203,557,20,"King Edward Street, St Pauls"
200048,558,24,"Page Street, Westminster"
200111,559,24,"Abbotsbury Road, Holland Park"
200015,560,21,"Ladbroke Grove Central, Ladbroke Grove"
200037,561,22,"Rectory Square, Stepney"
200074,562,21,"Bury Place, Holborn"
200232,563,26,"Preston's Road, Cubitt Town"
200068,564,41,"Somerset House, Strand"
200135,565,17,"Selby Street, Whitechapel"
200141,566,42,"Westfield Ariel Way, White City"
200110,568,18,"Bishop's Bridge Road West, Bayswater"
